Stock,Current Price,Predicted Trend in 15 days,Up/Down in next day
AMZN,2225.0,25.334400000000002,Down
FB,199.50999450683594,18.7653,Down
SONY,82.97000122070312,15.052299999999999,Down
TCEHY,43.02000045776367,7.929600000000001,Down
DELL,46.04999923706055,7.5882000000000005,Down
INTC,44.349998474121094,4.513199999999999,Down
CSCO,49.709999084472656,4.4139,Down
MSFT,271.69000244140625,4.1425,Down
AAPL,155.52000427246094,3.2222,Down
^GSPC,4035.179931640625,1.0775,Down
GOOG,2320.81005859375,0.3069,Up
IBM,135.0,-3.7962000000000002,Up
HPQ,37.86000061035156,-7.6737,Down
